label,utility,type,period,basic_charge_limit (imperial),basic_charge_limit (metric),month_start,month_end,hour_start,hour_end,weekday_start,weekday_end,charge (imperial),charge (metric),units,Notes
51000161001,electric,customer,,,,,,,,,,119.61,119.61,$/month,
,electric,energy,,0,0,1,5,0,7,0,4,0.023071,0.023071,$/kWh,Includes Rider A for fuel costs
,electric,energy,,0,0,1,5,7,22,0,4,0.024317,0.024317,$/kWh,Includes Rider A for fuel costs
,electric,energy,,0,0,1,5,22,24,0,4,0.023071,0.023071,$/kWh,Includes Rider A for fuel costs
,electric,energy,,0,0,1,5,0,24,5,6,0.023071,0.023071,$/kWh,Includes Rider A for fuel costs
,electric,energy,,0,0,6,9,0,10,0,4,0.024317,0.024317,$/kWh,Includes Rider A for fuel costs
,electric,energy,,0,0,6,9,10,22,0,4,0.023071,0.023071,$/kWh,Includes Rider A for fuel costs
,electric,energy,,0,0,6,9,22,24,0,4,0.023071,0.023071,$/kWh,Includes Rider A for fuel costs
,electric,energy,,0,0,6,9,0,24,5,6,0.023071,0.023071,$/kWh,Includes Rider A for fuel costs
,electric,energy,,0,0,10,12,0,7,0,4,0.023071,0.023071,$/kWh,Includes Rider A for fuel costs
,electric,energy,,0,0,10,12,7,22,0,4,0.024317,0.024317,$/kWh,Includes Rider A for fuel costs
,electric,energy,,0,0,10,12,22,24,0,4,0.023071,0.023071,$/kWh,Includes Rider A for fuel costs
,electric,energy,,0,0,10,12,0,24,5,6,0.023071,0.023071,$/kWh,Includes Rider A for fuel costs
,electric,demand,off-peak-winter1,0,0,1,5,0,7,0,4,1.14,1.14,$/kW,
,electric,demand,on-peak-winter1,0,0,1,5,7,22,0,4,13.451,13.451,$/kW,
,electric,demand,off-peak-winter1,0,0,1,5,22,24,0,4,1.14,1.14,$/kW,
,electric,demand,off-peak-winter1,0,0,1,5,0,24,5,6,1.14,1.14,$/kW,
,electric,demand,off-peak-summer,0,0,6,9,0,10,0,4,1.14,1.14,$/kW,
,electric,demand,on-peak-summer,0,0,6,9,10,22,0,4,13.451,13.451,$/kW,
,electric,demand,off-peak-summer,0,0,6,9,22,24,0,4,1.14,1.14,$/kW,
,electric,demand,off-peak-summer,0,0,6,9,0,24,5,6,1.14,1.14,$/kW,
,electric,demand,off-peak-winter2,0,0,10,12,0,7,0,4,1.14,1.14,$/kW,
,electric,demand,on-peak-winter2,0,0,10,12,7,22,0,4,13.451,13.451,$/kW,
,electric,demand,off-peak-winter2,0,0,10,12,22,24,0,4,1.14,1.14,$/kW,
,electric,demand,off-peak-winter2,0,0,10,12,0,24,5,6,1.14,1.14,$/kW,
,electric,demand,off-peak-winter1,5000,5000,1,5,0,7,0,4,1.006,1.006,$/kW,
,electric,demand,on-peak-winter1,5000,5000,1,5,7,22,0,4,13.317,13.317,$/kW,
,electric,demand,off-peak-winter1,5000,5000,1,5,22,24,0,4,1.006,1.006,$/kW,
,electric,demand,off-peak-winter1,5000,5000,1,5,0,24,5,6,1.006,1.006,$/kW,
,electric,demand,off-peak-summer,5000,5000,6,9,0,10,0,4,1.006,1.006,$/kW,
,electric,demand,on-peak-summer,5000,5000,6,9,10,22,0,4,13.317,13.317,$/kW,
,electric,demand,off-peak-summer,5000,5000,6,9,22,24,0,4,1.006,1.006,$/kW,
,electric,demand,off-peak-summer,5000,5000,6,9,0,24,5,6,1.006,1.006,$/kW,
,electric,demand,off-peak-winter2,5000,5000,10,12,0,7,0,4,1.006,1.006,$/kW,
,electric,demand,on-peak-winter2,5000,5000,10,12,7,22,0,4,13.317,13.317,$/kW,
,electric,demand,off-peak-winter2,5000,5000,10,12,22,24,0,4,1.006,1.006,$/kW,
,electric,demand,off-peak-winter2,5000,5000,10,12,0,24,5,6,1.006,1.006,$/kW,
,gas,customer,,,,,,,,,,21.39,21.39,$/month,
,gas,energy,,0,0,1,12,0,24,0,6,1.03999,0.367269607,$/therm or $/m3,Includes purchased gas cost
,gas,energy,,500,1415.84,1,12,0,24,0,6,0.9774,0.34516612,$/therm or $/m3,Includes purchased gas cost
