label,utility,type,period,basic_charge_limit (imperial),basic_charge_limit (metric),month_start,month_end,hour_start,hour_end,weekday_start,weekday_end,charge (imperial),charge (metric),units,Notes
39008260001,electric,customer,,,,,,,,,,150,150,$/month,
,electric,demand,maximum,0,0,1,12,0,24,0,6,2.2861,2.2861,$/kW,Includes Delivery Capital Recovery Rider
,electric,energy,,0,0,1,5,0,6,0,4,0.040005,0.040005,$/kWh,"Energy charge includes Riders GCR, TSA, GEN, and Fuel"
,electric,energy,,0,0,1,5,6,12,0,4,0.052936,0.052936,$/kWh,Time-of-day option selected for Rider GEN
,electric,energy,,0,0,1,5,12,18,0,4,0.064288,0.064288,$/kWh,
,electric,energy,,0,0,1,5,18,22,0,4,0.052936,0.052936,$/kWh,
,electric,energy,,0,0,1,5,22,24,0,4,0.040005,0.040005,$/kWh,
,electric,energy,,0,0,6,8,0,6,0,4,0.047094,0.047094,$/kWh,
,electric,energy,,0,0,6,8,6,12,0,4,0.056585,0.056585,$/kWh,
,electric,energy,,0,0,6,8,12,18,0,4,0.078468,0.078468,$/kWh,
,electric,energy,,0,0,6,8,18,22,0,4,0.056585,0.056585,$/kWh,
,electric,energy,,0,0,6,8,22,24,0,4,0.047094,0.047094,$/kWh,
,electric,energy,,0,0,9,12,0,6,0,4,0.040005,0.040005,$/kWh,
,electric,energy,,0,0,9,12,6,12,0,4,0.052936,0.052936,$/kWh,
,electric,energy,,0,0,9,12,12,18,0,4,0.064288,0.064288,$/kWh,
,electric,energy,,0,0,9,12,18,22,0,4,0.052936,0.052936,$/kWh,
,electric,energy,,0,0,9,12,22,24,0,4,0.040005,0.040005,$/kWh,
,electric,energy,,0,0,1,5,0,24,5,6,0.040005,0.040005,$/kWh,
,electric,energy,,0,0,6,8,0,24,5,6,0.047094,0.047094,$/kWh,
,electric,energy,,0,0,9,12,0,24,5,6,0.040005,0.040005,$/kWh,
,gas,customer,,,,,,,,,,559.53,559.53,$/month,
,gas,energy,,0,0,1,1,0,24,0,6,0.389256578,0.137464889,$/therm or $/m3,
,gas,energy,,21740,61560.7232,1,1,0,24,0,6,0.375503128,0.132607896,$/therm or $/m3,
