label,utility,type,period,basic_charge_limit (imperial),basic_charge_limit (metric),month_start,month_end,hour_start,hour_end,weekday_start,weekday_end,charge (imperial),charge (metric),units,Notes
13000012004,electric,customer,,,,,,,,,,230,230,$/month,
,electric,energy,,0,0,1,5,0,24,0,6,0.159611,0.159611,$/kWh,"Includes Fuel Cost Recovery Schedule: ""FCR-25"""
,electric,energy,,3000,3000,1,5,0,24,0,6,0.14705,0.14705,$/kWh,
,electric,energy,,10000,10000,1,5,0,24,0,6,0.129055,0.129055,$/kWh,
,electric,energy,,200000,200000,1,5,0,24,0,6,0.105158,0.105158,$/kWh,
,electric,energy,,1276333.333,1276333.333,1,5,0,24,0,6,0.038568,0.038568,$/kWh,
,electric,energy,,2552666.667,2552666.667,1,5,0,24,0,6,0.035159,0.035159,$/kWh,
,electric,energy,,3829000,3829000,1,5,0,24,0,6,0.032551,0.032551,$/kWh,
,electric,energy,,0,0,6,9,0,24,0,6,0.159923,0.159923,$/kWh,
,electric,energy,,3000,3000,6,9,0,24,0,6,0.147362,0.147362,$/kWh,
,electric,energy,,10000,10000,6,9,0,24,0,6,0.129367,0.129367,$/kWh,
,electric,energy,,200000,200000,6,9,0,24,0,6,0.10547,0.10547,$/kWh,
,electric,energy,,1276333.333,1276333.333,6,9,0,24,0,6,0.03888,0.03888,$/kWh,
,electric,energy,,2552666.667,2552666.667,6,9,0,24,0,6,0.035471,0.035471,$/kWh,
,electric,energy,,3829000,3829000,6,9,0,24,0,6,0.032863,0.032863,$/kWh,
,electric,energy,,0,0,10,12,0,24,0,6,0.159611,0.159611,$/kWh,
,electric,energy,,3000,3000,10,12,0,24,0,6,0.14705,0.14705,$/kWh,
,electric,energy,,10000,10000,10,12,0,24,0,6,0.129055,0.129055,$/kWh,
,electric,energy,,200000,200000,10,12,0,24,0,6,0.105158,0.105158,$/kWh,
,electric,energy,,1276333.333,1276333.333,10,12,0,24,0,6,0.038568,0.038568,$/kWh,
,electric,energy,,2552666.667,2552666.667,10,12,0,24,0,6,0.035159,0.035159,$/kWh,
,electric,energy,,3829000,3829000,10,12,0,24,0,6,0.032551,0.032551,$/kWh,
,electric,demand,maximum,0,0,1,12,0,24,0,6,9.7,9.7,$/kW,
,gas,customer,,,,,,,,,,1263.96,1263.96,$/month,
,gas,energy,,0,0,1,12,0,24,0,6,1.1292,0.398773873,$/therm or $/m3,
