label,utility,type,period,basic_charge_limit (imperial),basic_charge_limit (metric),month_start,month_end,hour_start,hour_end,weekday_start,weekday_end,charge (imperial),charge (metric),units,Notes
36009071001,electric,customer,,,,,,,,,,2000,2000,$/month,
,electric,demand,maximum,0,0,1,12,0,24,0,6,10.77,10.77,$/kW,
,electric,energy,,0,0,1,1,0,24,0,6,0.030879516,0.030879516,$/kWh,Monthly average of day-head price
,electric,energy,,0,0,2,2,0,24,0,6,0.033753884,0.033753884,$/kWh,Monthly average of day-head price
,electric,energy,,0,0,3,3,0,24,0,6,0.023279382,0.023279382,$/kWh,Monthly average of day-head price
,electric,energy,,0,0,4,4,0,24,0,6,0.025462583,0.025462583,$/kWh,Monthly average of day-head price
,electric,energy,,0,0,5,5,0,24,0,6,0.027886196,0.027886196,$/kWh,Monthly average of day-head price
,electric,energy,,0,0,6,6,0,24,0,6,0.032229958,0.032229958,$/kWh,Monthly average of day-head price
,electric,energy,,0,0,7,7,0,24,0,6,0.039789288,0.039789288,$/kWh,Monthly average of day-head price
,electric,energy,,0,0,8,8,0,24,0,6,0.046466774,0.046466774,$/kWh,Monthly average of day-head price
,electric,energy,,0,0,9,9,0,24,0,6,0.042815319,0.042815319,$/kWh,Monthly average of day-head price
,electric,energy,,0,0,10,10,0,24,0,6,0.047652782,0.047652782,$/kWh,Monthly average of day-head price
,electric,energy,,0,0,11,11,0,24,0,6,0.037968653,0.037968653,$/kWh,Monthly average of day-head price
,electric,energy,,0,0,12,12,0,24,0,6,0.038975134,0.038975134,$/kWh,Monthly average of day-head price
,gas,customer,,,,,,,,,,781,781,$/month,
,gas,energy,,100,283.168,1,1,0,24,0,6,0.37228,0.131469658,$/therm or $/m3,Includes cost of gas
,gas,energy,,100,283.168,2,2,0,24,0,6,0.45711,0.161427139,$/therm or $/m3,Includes cost of gas
,gas,energy,,100,283.168,3,3,0,24,0,6,0.4499,0.158880947,$/therm or $/m3,Includes cost of gas
,gas,energy,,100,283.168,4,4,0,24,0,6,0.43898,0.155024579,$/therm or $/m3,Includes cost of gas
,gas,energy,,100,283.168,5,5,0,24,0,6,0.46585,0.164513646,$/therm or $/m3,Includes cost of gas
,gas,energy,,100,283.168,6,6,0,24,0,6,0.48293,0.170545401,$/therm or $/m3,Includes cost of gas
,gas,energy,,100,283.168,7,7,0,24,0,6,0.5283,0.186567691,$/therm or $/m3,Includes cost of gas
,gas,energy,,100,283.168,8,8,0,24,0,6,0.50104,0.176940897,$/therm or $/m3,Includes cost of gas
,gas,energy,,100,283.168,9,9,0,24,0,6,0.55566,0.1962298,$/therm or $/m3,Includes cost of gas
,gas,energy,,100,283.168,10,10,0,24,0,6,0.67158,0.237166629,$/therm or $/m3,Includes cost of gas
,gas,energy,,100,283.168,11,11,0,24,0,6,0.69198,0.244370833,$/therm or $/m3,Includes cost of gas
,gas,energy,,100,283.168,12,12,0,24,0,6,0.66453,0.234676941,$/therm or $/m3,Includes cost of gas
