label,utility,type,period,basic_charge_limit (imperial),basic_charge_limit (metric),month_start,month_end,hour_start,hour_end,weekday_start,weekday_end,charge (imperial),charge (metric),units,Notes
41000017001,electric,customer,,,,,,,,,,1890,1890,$/month,
,electric,energy,,0,0,1,12,0,6,0,5,0.04367,0.04367,$/kWh,
,electric,energy,,0,0,1,12,6,22,0,5,0.05867,0.05867,$/kWh,
,electric,energy,,0,0,1,12,22,24,0,5,0.04367,0.04367,$/kWh,
,electric,energy,,0,0,1,12,0,24,6,6,0.04367,0.04367,$/kWh,
,electric,demand,maximum,0,0,1,12,0,24,0,6,1.49,1.49,$/kW,
,electric,demand,on-peak,0,0,1,12,6,22,0,5,3.29,3.29,$/kW,
,electric,demand,maximum,4000,4000,1,12,0,24,0,6,1.18,1.18,$/kW,
,gas,customer,,,,,,,,,,325,325,$/month,
,gas,energy,,0,0,1,12,0,24,0,6,0.58665,0.207173833,$/therm or $/m3,
,gas,energy,,2000,5663.36,1,12,0,24,0,6,0.56692,0.200206238,$/therm or $/m3,
