label,utility,type,period,basic_charge_limit (imperial),basic_charge_limit (metric),month_start,month_end,hour_start,hour_end,weekday_start,weekday_end,charge (imperial),charge (metric),units,Notes
42005016001,electric,customer,,,,,,,,,,41800,41800,$/month,
,electric,energy,,0,0,1,1,0,24,0,6,0.023898134,0.023898134,$/kWh,Monthly average of LMP
,electric,energy,,0,0,2,2,0,24,0,6,0.036046531,0.036046531,$/kWh,Monthly average of LMP
,electric,energy,,0,0,3,3,0,24,0,6,0.024470914,0.024470914,$/kWh,Monthly average of LMP
,electric,energy,,0,0,4,4,0,24,0,6,0.025445395,0.025445395,$/kWh,Monthly average of LMP
,electric,energy,,0,0,5,5,0,24,0,6,0.027086477,0.027086477,$/kWh,Monthly average of LMP
,electric,energy,,0,0,6,6,0,24,0,6,0.032237856,0.032237856,$/kWh,Monthly average of LMP
,electric,energy,,0,0,7,7,0,24,0,6,0.03445695,0.03445695,$/kWh,Monthly average of LMP
,electric,energy,,0,0,8,8,0,24,0,6,0.042882188,0.042882188,$/kWh,Monthly average of LMP
,electric,energy,,0,0,9,9,0,24,0,6,0.045681787,0.045681787,$/kWh,Monthly average of LMP
,electric,energy,,0,0,10,10,0,24,0,6,0.058582734,0.058582734,$/kWh,Monthly average of LMP
,electric,energy,,0,0,11,11,0,24,0,6,0.065017621,0.065017621,$/kWh,Monthly average of LMP
,electric,energy,,0,0,12,12,0,24,0,6,0.036457295,0.036457295,$/kWh,Monthly average of LMP
,electric,demand,maximum,0,0,1,12,0,24,0,6,0,0,$/kW,No demand charges until 5000 kW is reached
,electric,demand,maximum,5000,5000,1,12,0,24,0,6,16.63,16.63,$/kW,
,gas,customer,,,,,,,,,,1104,1104,$/month,
,gas,energy,,0,0,1,12,0,24,0,6,0.77109,0.272308312,$/therm or $/m3,
