DateTime,co2_eq_kg_per_MWh
2023-01-01 00:00:00,270.65764735919873
2023-01-01 01:00:00,283.94398427530155
2023-01-01 02:00:00,287.7004452997096
2023-01-01 03:00:00,289.6820238960145
2023-01-01 04:00:00,293.9075086196243
2023-01-01 05:00:00,288.77941714899464
2023-01-01 06:00:00,297.857428458573
2023-01-01 07:00:00,315.8312764679479
2023-01-01 08:00:00,312.4050854552063
2023-01-01 09:00:00,285.4897958136992
2023-01-01 10:00:00,281.4738976448421
2023-01-01 11:00:00,271.4549589155714
2023-01-01 12:00:00,268.03045739955536
2023-01-01 13:00:00,282.00412811813226
2023-01-01 14:00:00,281.6410006622576
2023-01-01 15:00:00,281.90645294732457
2023-01-01 16:00:00,260.11446685122746
2023-01-01 17:00:00,202.95645467789203
2023-01-01 18:00:00,176.09756605674437
2023-01-01 19:00:00,169.53967810617223
2023-01-01 20:00:00,169.8423456666615
2023-01-01 21:00:00,176.43081694266905
2023-01-01 22:00:00,169.3545191356997
2023-01-01 23:00:00,173.8126958038197
2023-01-02 00:00:00,204.8513398570426
2023-01-02 01:00:00,259.90286255354687
2023-01-02 02:00:00,282.14615165123377
2023-01-02 03:00:00,284.2824344245992
2023-01-02 04:00:00,282.58441506563827
2023-01-02 05:00:00,286.41270260103084
2023-01-02 06:00:00,288.3078043358645
2023-01-02 07:00:00,294.40197769075536
2023-01-02 08:00:00,297.13105926399965
2023-01-02 09:00:00,326.06815284685274
2023-01-02 10:00:00,331.1430205997821
2023-01-02 11:00:00,333.7650319290997
2023-01-02 12:00:00,328.68308062644087
2023-01-02 13:00:00,324.5269482399255
2023-01-02 14:00:00,336.0702563048833
2023-01-02 15:00:00,338.9399457947946
2023-01-02 16:00:00,327.0983920661908
2023-01-02 17:00:00,265.9114308889465
2023-01-02 18:00:00,237.0922044768086
2023-01-02 19:00:00,235.62986000953933
2023-01-02 20:00:00,241.8728055543256
2023-01-02 21:00:00,254.4898080207288
2023-01-02 22:00:00,260.2828020714183
2023-01-02 23:00:00,285.3480861623521
2023-01-03 00:00:00,312.8730673675496
2023-01-03 01:00:00,336.1557466366323
2023-01-03 02:00:00,326.82981460603776
2023-01-03 03:00:00,325.8071289202671
2023-01-03 04:00:00,315.7192747695577
2023-01-03 05:00:00,307.49285839545365
2023-01-03 06:00:00,313.8278700909675
2023-01-03 07:00:00,330.255033062266
2023-01-03 08:00:00,333.69385481605764
2023-01-03 09:00:00,335.08364053910395
2023-01-03 10:00:00,337.43668989442074
2023-01-03 11:00:00,338.94116930523813
2023-01-03 12:00:00,339.3678867984695
2023-01-03 13:00:00,339.647838714559
2023-01-03 14:00:00,334.9989234352143
2023-01-03 15:00:00,332.96184048770345
2023-01-03 16:00:00,315.32592947761515
2023-01-03 17:00:00,266.556198064808
2023-01-03 18:00:00,250.04651410623737
2023-01-03 19:00:00,246.4343852969363
2023-01-03 20:00:00,250.0229177312466
2023-01-03 21:00:00,249.3889807932441
2023-01-03 22:00:00,255.64702474777508
2023-01-03 23:00:00,269.8240731550731
2023-01-04 00:00:00,322.2145100279576
2023-01-04 01:00:00,347.8234703260877
2023-01-04 02:00:00,348.7611887027344
2023-01-04 03:00:00,345.46214181647366
2023-01-04 04:00:00,346.7422661965689
2023-01-04 05:00:00,342.96233222914526
2023-01-04 06:00:00,339.9416830155514
2023-01-04 07:00:00,350.8467871431803
2023-01-04 08:00:00,362.61792123557086
2023-01-04 09:00:00,361.3609791047306
2023-01-04 10:00:00,358.6502720955877
2023-01-04 11:00:00,356.39955307773903
2023-01-04 12:00:00,355.4087473704302
2023-01-04 13:00:00,360.3291617775593
2023-01-04 14:00:00,351.2394715247276
2023-01-04 15:00:00,344.7460131410493
2023-01-04 16:00:00,339.2499818854395
2023-01-04 17:00:00,319.52986559047486
2023-01-04 18:00:00,293.981608734535
2023-01-04 19:00:00,279.3919107755668
2023-01-04 20:00:00,277.7519824530671
2023-01-04 21:00:00,289.7600070565163
2023-01-04 22:00:00,282.53254999371234
2023-01-04 23:00:00,284.06581485852865
2023-01-05 00:00:00,296.71299147383155
2023-01-05 01:00:00,306.90175242333174
2023-01-05 02:00:00,324.4762438307281
2023-01-05 03:00:00,333.0155881337656
2023-01-05 04:00:00,329.8596412660317
2023-01-05 05:00:00,329.6150772533155
2023-01-05 06:00:00,331.2803577024947
2023-01-05 07:00:00,331.2890749338855
2023-01-05 08:00:00,333.0545474955505
2023-01-05 09:00:00,334.8913916867597
2023-01-05 10:00:00,342.7448133429842
2023-01-05 11:00:00,361.5662911833799
2023-01-05 12:00:00,356.7024194697494
2023-01-05 13:00:00,362.6317237287863
2023-01-05 14:00:00,364.9326272055681
2023-01-05 15:00:00,363.09336683958014
2023-01-05 16:00:00,358.55696985116566
2023-01-05 17:00:00,347.8140014629703
2023-01-05 18:00:00,339.2359274157308
2023-01-05 19:00:00,324.3423622046792
2023-01-05 20:00:00,314.46136570224337
2023-01-05 21:00:00,319.3695929944486
2023-01-05 22:00:00,306.24294350187625
2023-01-05 23:00:00,303.1529355125492
2023-01-06 00:00:00,304.2668989924322
2023-01-06 01:00:00,317.8689496617661
2023-01-06 02:00:00,312.5573834984245
2023-01-06 03:00:00,311.41598573507764
2023-01-06 04:00:00,312.2673011801545
2023-01-06 05:00:00,318.8627400349526
2023-01-06 06:00:00,319.7543674877484
2023-01-06 07:00:00,315.595776852627
2023-01-06 08:00:00,307.3051712217011
2023-01-06 09:00:00,329.10466051562935
2023-01-06 10:00:00,339.5004114658668
2023-01-06 11:00:00,352.38485487422463
