DateTime,co2_eq_kg_per_MWh
2023-04-01 00:00:00,379.711763696715
2023-04-01 01:00:00,372.5282292831959
2023-04-01 02:00:00,375.9079009376612
2023-04-01 03:00:00,359.95541040078257
2023-04-01 04:00:00,343.595711467717
2023-04-01 05:00:00,343.17087689330964
2023-04-01 06:00:00,337.85947427803274
2023-04-01 07:00:00,334.35846622835595
2023-04-01 08:00:00,333.5511524424701
2023-04-01 09:00:00,330.0653738285329
2023-04-01 10:00:00,329.5348679055661
2023-04-01 11:00:00,325.78235170588295
2023-04-01 12:00:00,322.0089331311643
2023-04-01 13:00:00,328.83549687253134
2023-04-01 14:00:00,327.4514669946228
2023-04-01 15:00:00,337.20324076613474
2023-04-01 16:00:00,356.56734947936474
2023-04-01 17:00:00,375.7260752240873
2023-04-01 18:00:00,387.2485621087574
2023-04-01 19:00:00,399.8944738802333
2023-04-01 20:00:00,409.7066409585776
2023-04-01 21:00:00,411.4545722518964
2023-04-01 22:00:00,423.1530491430925
2023-04-01 23:00:00,435.0741049105358
2023-04-02 00:00:00,447.6520975251335
2023-04-02 01:00:00,453.6865546595093
2023-04-02 02:00:00,455.1887248673495
2023-04-02 03:00:00,454.0670115236094
2023-04-02 04:00:00,441.25996076646754
2023-04-02 05:00:00,406.55706692703313
2023-04-02 06:00:00,379.7121055465384
2023-04-02 07:00:00,371.6797033535992
2023-04-02 08:00:00,364.9929187158025
2023-04-02 09:00:00,361.6500866519042
2023-04-02 10:00:00,361.6874422251107
2023-04-02 11:00:00,368.7880270016223
2023-04-02 12:00:00,355.57653811374763
2023-04-02 13:00:00,351.98570788786105
2023-04-02 14:00:00,342.8546107339141
2023-04-02 15:00:00,331.8565871525836
2023-04-02 16:00:00,333.9219318193081
2023-04-02 17:00:00,332.00812701938645
2023-04-02 18:00:00,330.08809467837256
2023-04-02 19:00:00,331.8468733301837
2023-04-02 20:00:00,333.43787595746073
2023-04-02 21:00:00,335.9179089032217
2023-04-02 22:00:00,339.15778431897127
2023-04-02 23:00:00,338.7866479287521
2023-04-03 00:00:00,354.5034597897021
2023-04-03 01:00:00,368.2303306140208
2023-04-03 02:00:00,386.7889860668719
2023-04-03 03:00:00,388.52052022999726
2023-04-03 04:00:00,377.88366896437617
2023-04-03 05:00:00,363.17188927935536
2023-04-03 06:00:00,354.2985903810829
2023-04-03 07:00:00,359.01528500906346
2023-04-03 08:00:00,367.046233388763
2023-04-03 09:00:00,379.79229176724334
2023-04-03 10:00:00,388.2627268854004
2023-04-03 11:00:00,398.36505547233486
2023-04-03 12:00:00,427.4179306156876
2023-04-03 13:00:00,451.2781357160841
2023-04-03 14:00:00,459.1796121424077
2023-04-03 15:00:00,469.00398771422937
2023-04-03 16:00:00,472.8235104505956
2023-04-03 17:00:00,472.6689275459254
2023-04-03 18:00:00,474.3316819733563
2023-04-03 19:00:00,462.39831174180034
2023-04-03 20:00:00,441.34241964907886
2023-04-03 21:00:00,426.8968148665702
2023-04-03 22:00:00,427.9250449186818
2023-04-03 23:00:00,428.6016442633846
2023-04-04 00:00:00,427.8792674426995
2023-04-04 01:00:00,431.8760132243306
2023-04-04 02:00:00,430.57107378354647
2023-04-04 03:00:00,424.633738533309
2023-04-04 04:00:00,402.8042483274241
2023-04-04 05:00:00,385.54466999230885
2023-04-04 06:00:00,370.6605970000491
2023-04-04 07:00:00,358.628954318757
2023-04-04 08:00:00,352.893931283392
2023-04-04 09:00:00,362.7499780673669
2023-04-04 10:00:00,367.4182080162586
2023-04-04 11:00:00,369.7194235587289
2023-04-04 12:00:00,387.6429113815664
2023-04-04 13:00:00,400.3003612381074
2023-04-04 14:00:00,397.7091084518912
2023-04-04 15:00:00,393.6164325985629
2023-04-04 16:00:00,381.7988825079704
2023-04-04 17:00:00,366.8068567602464
2023-04-04 18:00:00,367.4854740995687
2023-04-04 19:00:00,372.596471898407
2023-04-04 20:00:00,372.8983619297886
2023-04-04 21:00:00,373.7491353546632
2023-04-04 22:00:00,381.4370731747024
2023-04-04 23:00:00,391.0100687380124
2023-04-05 00:00:00,400.9584280626509
2023-04-05 01:00:00,413.94606080787366
2023-04-05 02:00:00,415.1360888382514
2023-04-05 03:00:00,411.384537302372
2023-04-05 04:00:00,399.4753338441559
2023-04-05 05:00:00,375.8993671295744
2023-04-05 06:00:00,347.62514627674307
2023-04-05 07:00:00,332.5034426695666
2023-04-05 08:00:00,330.615507431588
2023-04-05 09:00:00,335.26392890816885
2023-04-05 10:00:00,334.23755961331995
2023-04-05 11:00:00,336.01001597045445
2023-04-05 12:00:00,346.4977944616605
2023-04-05 13:00:00,356.82939024642945
2023-04-05 14:00:00,366.2416354745269
2023-04-05 15:00:00,371.1370674457355
2023-04-05 16:00:00,364.1526535374286
2023-04-05 17:00:00,364.2486087444457
2023-04-05 18:00:00,367.3385319386909
2023-04-05 19:00:00,360.938948799841
2023-04-05 20:00:00,353.730620367305
2023-04-05 21:00:00,357.0667422525664
2023-04-05 22:00:00,355.23816425430164
2023-04-05 23:00:00,344.69382762235296
2023-04-06 00:00:00,342.7644456838499
2023-04-06 01:00:00,349.08704821600594
2023-04-06 02:00:00,358.64800201747573
2023-04-06 03:00:00,359.9201178216055
2023-04-06 04:00:00,353.8174042518804
2023-04-06 05:00:00,349.0666547464005
2023-04-06 06:00:00,342.85553973042295
2023-04-06 07:00:00,336.6226967646915
2023-04-06 08:00:00,342.6027425774808
2023-04-06 09:00:00,356.3741855455937
2023-04-06 10:00:00,381.0495096413779
2023-04-06 11:00:00,400.2728788655029
