,CAISO,ERCOT,ISONE,NYISO,PJM,SPP,MISO
Jan_min,239.8837003080537,324.0063052813171,265.11843073164516,271.43104952893043,391.8385911676748,452.4411294918421,498.3579335542996
Jan_max,346.46825773548,444.4775712468043,292.5675763137729,277.9372615516631,409.3050490591321,482.90474311737495,532.0300029091431
Feb_min,194.70049127246537,223.0896787564165,240.57796600738848,248.3458092327306,337.02415790252604,294.6671143740804,395.0916683379712
Feb_max,310.4471238211968,351.8204656026736,261.84783171102896,266.1546693013311,357.7319614026566,369.953499173855,444.3416680720477
Mar_min,156.816467321337,239.94814324418925,249.07309022967848,241.15246123495888,318.1582097264292,245.94791042020833,367.1655110841008
Mar_max,258.6524259015615,352.9471386840236,279.21271767796975,265.0529600068032,338.12400491961057,288.8401745019681,408.94591281872414
Apr_min,157.0587163423284,246.9481586869585,222.7850834928085,222.09710312755183,335.5286229632046,249.67735498620064,363.35130662260394
Apr_max,260.08784159251167,359.2004433561727,254.87503868475707,241.16008820134857,359.95361751001394,317.3741093283095,412.4011790615736
May_min,142.3591147230632,297.6434495004993,244.61085462985736,243.65760368989788,339.10992948338907,302.50944737280906,404.4773747985436
May_max,247.84900434421297,381.9988945513557,271.93019637159915,266.0954187369924,374.1103351258969,386.5720165677532,461.619071223509
Jun_min,135.69932208642325,298.4961254439481,271.13288294851685,254.94534434117335,348.2285840056194,320.5781351203058,406.29945039778994
Jun_max,258.7963140177296,392.4794277668528,299.3846878407524,278.8594001120777,385.1263137927139,424.05245924426134,478.316785420374
Jul_min,199.69177058023212,348.46213085700776,285.1483859596023,302.99425447758995,386.8286099350349,424.72836783429005,477.46532214238033
Jul_max,309.715232184267,435.9207611489064,319.2171056717006,320.17604240214706,430.9415119279431,551.2324610416033,544.2293412731412
Aug_min,206.0177577225553,357.6559163960089,268.9433719418911,281.815249153077,382.4937703080001,457.1213165884,470.8173861948018
Aug_max,322.568991546584,452.2590728983115,296.72497602363575,300.26242426522964,426.1463299429448,564.9521281653002,536.8698182057032
Sep_min,172.2008113372738,356.9954522225779,273.9638204659986,277.34364629116953,349.183050834127,354.87543120540187,443.4878012695931
Sep_max,305.42910436676425,458.0791389861824,306.18040152037713,293.12236065780803,388.2723145618938,503.9680116594064,524.0773930865818
Oct_min,208.57243014061348,329.977750388524,256.40790971925605,243.3721833543123,321.1642220288522,301.3815846217708,440.32065991163785
Oct_max,364.78663590378136,429.0470426230325,290.2494995280465,259.6737626436813,355.0418400490983,384.3750064209251,502.5651098381442
Nov_min,211.97734828108568,338.30018908886507,271.1550723731261,253.6579817755538,338.3096520030794,334.1283176431396,429.24770222983426
Nov_max,347.00570176451384,433.8921199930548,297.6864398627104,268.76523731860556,358.35536563076323,417.6918626108415,470.5100568317859
Dec_min,240.8926527365979,279.1197289534736,249.94156633204983,258.42783780362424,352.625971792377,306.5643845726786,437.62505412426754
Dec_max,357.6041470058643,418.9648480825091,288.18850522532404,270.33570000168066,369.2283048775791,385.1348626560063,485.3937779168723
