month,hour,USD_per_MWh
1.0,0.0,41.54241351867572
1.0,1.0,40.747391235144306
1.0,2.0,38.698758488964344
1.0,3.0,38.91658531409167
1.0,4.0,40.30195352292021
1.0,5.0,41.23927047962649
1.0,6.0,45.412090407470295
1.0,7.0,56.22958616298812
1.0,8.0,54.32397867147707
1.0,9.0,49.05497607522515
1.0,10.0,50.16363444833959
1.0,11.0,47.75129498059417
1.0,12.0,45.30064535495573
1.0,13.0,44.92801016667017
1.0,14.0,46.3186196705985
1.0,15.0,49.50912271859082
1.0,16.0,56.5369535229202
1.0,17.0,73.26093139855688
1.0,18.0,65.0113937818336
1.0,19.0,55.07146063242785
1.0,20.0,51.2016712648557
1.0,21.0,49.97355608022071
1.0,22.0,44.45711056876061
1.0,23.0,42.76493898556876
2.0,0.0,61.408642068566586
2.0,1.0,59.94985024681895
2.0,2.0,58.85704461301358
2.0,3.0,58.387674948208186
2.0,4.0,59.173294592781986
2.0,5.0,65.59597607573009
2.0,6.0,79.4626066699398
2.0,7.0,87.88020682749202
2.0,8.0,78.76851471662029
2.0,9.0,69.95022080288024
2.0,10.0,67.95758729205731
2.0,11.0,63.135152881224094
2.0,12.0,60.3819455073045
2.0,13.0,60.53589379593062
2.0,14.0,60.27620157423847
2.0,15.0,64.27623772746175
2.0,16.0,66.45587445473083
2.0,17.0,90.57285583531161
2.0,18.0,94.12504263737482
2.0,19.0,77.91440519324837
2.0,20.0,73.63048032411875
2.0,21.0,70.5578580729569
2.0,22.0,61.00073894735489
2.0,23.0,57.43102962983091
3.0,0.0,27.924732800824433
3.0,1.0,27.14429701903456
3.0,2.0,26.38005704807413
3.0,3.0,26.34514482089298
3.0,4.0,27.660203345017727
3.0,5.0,31.06802423151245
3.0,6.0,42.76633019465086
3.0,7.0,47.36649127900066
3.0,8.0,41.2126231777493
3.0,9.0,34.865535201718465
3.0,10.0,32.313157647759255
3.0,11.0,31.21974667842294
3.0,12.0,30.287096936377853
3.0,13.0,29.349502450571098
3.0,14.0,29.017870124753035
3.0,15.0,30.40281625928604
3.0,16.0,35.003167922542296
3.0,17.0,41.33426346045256
3.0,18.0,49.232202727355634
3.0,19.0,48.31555838439807
3.0,20.0,43.27648832170613
3.0,21.0,39.477583724999086
3.0,22.0,33.10197450422671
3.0,23.0,28.877590571842365
4.0,0.0,23.31260832648589
4.0,1.0,22.889796220213643
4.0,2.0,21.947205149274172
4.0,3.0,21.785715146535193
4.0,4.0,22.894209531635166
4.0,5.0,25.58969159134483
4.0,6.0,33.17781265406738
4.0,7.0,34.530311421528346
4.0,8.0,31.392803889345387
4.0,9.0,27.52375102711586
4.0,10.0,26.805210353327862
4.0,11.0,25.81798274445357
4.0,12.0,24.51186058614079
4.0,13.0,23.86148233360723
4.0,14.0,23.419450013694878
4.0,15.0,24.152343193645574
4.0,16.0,27.63733607230896
4.0,17.0,33.28088359353602
4.0,18.0,39.07950095864146
4.0,19.0,42.91109887701999
4.0,20.0,42.01848781155848
4.0,21.0,32.992018077239116
4.0,22.0,27.883794302930706
4.0,23.0,24.508554916461247
5.0,0.0,22.2344122207222
5.0,1.0,20.924606926989675
5.0,2.0,20.214065111682295
5.0,3.0,19.46565092676282
5.0,4.0,20.225115206810266
5.0,5.0,22.200196807663406
5.0,6.0,26.156427519061573
