month,hour,USD_per_MWh
1.0,0.0,26.727302583333337
1.0,1.0,25.496805416666668
1.0,2.0,26.341411333333333
1.0,3.0,26.548808916666665
1.0,4.0,27.418111416666665
1.0,5.0,28.868422666666664
1.0,6.0,32.70544116666667
1.0,7.0,37.584067000000005
1.0,8.0,37.576175916666664
1.0,9.0,35.35149116666667
1.0,10.0,32.7386465
1.0,11.0,27.871280916666667
1.0,12.0,25.234119583333335
1.0,13.0,23.36116175
1.0,14.0,22.22805625
1.0,15.0,21.958145416666667
1.0,16.0,21.745073916666662
1.0,17.0,24.881860916666668
1.0,18.0,21.069749666666667
1.0,19.0,19.4994545
1.0,20.0,17.16373133333333
1.0,21.0,15.132752833333337
1.0,22.0,13.141070333333332
1.0,23.0,10.79057025
2.0,0.0,-2.8748445091514143
2.0,1.0,-2.939037104825291
2.0,2.0,-2.5371046589018302
2.0,3.0,-0.864265723793677
2.0,4.0,2.6912202995008316
2.0,5.0,7.924319800332778
2.0,6.0,15.05312911813644
2.0,7.0,16.712395757071548
2.0,8.0,17.08498302828619
2.0,9.0,21.803449584026623
2.0,10.0,25.466805324459234
2.0,11.0,24.297376206322795
2.0,12.0,20.474930532445924
2.0,13.0,18.981494259567388
2.0,14.0,17.42915557404326
2.0,15.0,18.343204908485855
2.0,16.0,19.056149084858568
2.0,17.0,24.766613144758736
2.0,18.0,20.13032612312812
2.0,19.0,17.92269833610649
2.0,20.0,16.799803577371048
2.0,21.0,17.58330765391015
2.0,22.0,15.646049500831948
2.0,23.0,13.193757570715476
3.0,0.0,-1.554846600331675
3.0,1.0,-2.1963127694859037
3.0,2.0,-2.0495828358208956
3.0,3.0,0.4169154228855721
3.0,4.0,3.882293698175787
3.0,5.0,10.403930182421227
3.0,6.0,17.51029527363184
3.0,7.0,19.317069485903815
3.0,8.0,20.852733084577117
3.0,9.0,26.681658208955223
3.0,10.0,24.962960116086236
3.0,11.0,21.738268656716414
3.0,12.0,19.87612736318408
3.0,13.0,18.64631583747927
3.0,14.0,16.959105058043118
3.0,15.0,15.777616666666669
3.0,16.0,15.312368325041458
3.0,17.0,19.28991376451078
3.0,18.0,18.87673872305141
3.0,19.0,12.100380016583747
3.0,20.0,8.215698839137644
3.0,21.0,2.497226036484246
3.0,22.0,-1.840701824212272
3.0,23.0,-5.960398507462687
4.0,0.0,1.4095900247320694
4.0,1.0,0.5043077493816982
4.0,2.0,0.7000053586150041
4.0,3.0,3.668015498763397
4.0,4.0,5.888053009068425
4.0,5.0,11.570175103050287
4.0,6.0,19.09076158285243
4.0,7.0,26.768548722176423
4.0,8.0,33.98285787304204
4.0,9.0,57.77508087386645
4.0,10.0,39.48114732069249
4.0,11.0,37.1367834295136
4.0,12.0,42.53780519373454
4.0,13.0,31.994702308326467
4.0,14.0,25.94167831821929
4.0,15.0,21.925395630667765
4.0,16.0,21.10082877164056
4.0,17.0,20.50618672712283
4.0,18.0,18.165836438582023
4.0,19.0,18.070825226710635
4.0,20.0,18.187260923330584
4.0,21.0,11.594584089035449
