month,hour,USD_per_MWh
1.0,0.0,27.582319185059426
1.0,1.0,26.25551144312394
1.0,2.0,25.336345534804757
1.0,3.0,25.15407415959253
1.0,4.0,25.468393752122243
1.0,5.0,27.391944312393885
1.0,6.0,31.389974465195245
1.0,7.0,38.41401466893039
1.0,8.0,38.52910696095076
1.0,9.0,37.36621908319185
1.0,10.0,36.09522105263157
1.0,11.0,34.92431198641766
1.0,12.0,33.420931205432936
1.0,13.0,32.302354227504246
1.0,14.0,31.051036196943972
1.0,15.0,30.506216366723258
1.0,16.0,32.686613106960955
1.0,17.0,39.088335348047536
1.0,18.0,40.98096325976231
1.0,19.0,37.3577430220713
1.0,20.0,35.03166084889644
1.0,21.0,32.56624067911715
1.0,22.0,29.980355314091682
1.0,23.0,28.574038709677417
2.0,0.0,19.934701353383456
2.0,1.0,18.96298721804511
2.0,2.0,18.699686616541353
2.0,3.0,18.78243263157895
2.0,4.0,19.46907428571429
2.0,5.0,21.617252330827064
2.0,6.0,26.133712030075184
2.0,7.0,31.036919248120302
2.0,8.0,29.76324827067669
2.0,9.0,28.20577278195489
2.0,10.0,27.16337879699248
2.0,11.0,25.728374887218045
2.0,12.0,24.392161052631582
2.0,13.0,23.268186165413535
2.0,14.0,22.41129127819549
2.0,15.0,21.761758045112774
2.0,16.0,22.88494796992481
2.0,17.0,25.96648646616541
2.0,18.0,29.02738721804511
2.0,19.0,27.73893353383458
2.0,20.0,25.79115578947368
2.0,21.0,23.963563308270675
2.0,22.0,21.819638045112786
2.0,23.0,20.504963458646614
3.0,0.0,20.861431705533438
3.0,1.0,20.04749302564936
3.0,2.0,19.770381612090674
3.0,3.0,19.99010373500176
3.0,4.0,21.251410443920804
3.0,5.0,24.742346631998053
3.0,6.0,29.918979307169366
3.0,7.0,31.3036093280247
3.0,8.0,29.556862490181743
3.0,9.0,28.96068809078844
3.0,10.0,27.84759161452831
3.0,11.0,26.385773678936104
3.0,12.0,25.57843205763657
3.0,13.0,24.816438883020503
3.0,14.0,23.916768641152736
3.0,15.0,23.660011646488446
3.0,16.0,24.55423729043092
3.0,17.0,26.54882641315241
3.0,18.0,28.915455296443753
3.0,19.0,30.820509330733184
3.0,20.0,28.02382722569812
3.0,21.0,24.693611223964684
3.0,22.0,22.575470328539318
3.0,23.0,21.4361020828255
4.0,0.0,16.513514633895348
4.0,1.0,15.423960887794328
4.0,2.0,15.250602322666051
4.0,3.0,15.55827000008576
4.0,4.0,17.452441752091477
4.0,5.0,21.3676553452971
4.0,6.0,25.662435694199846
4.0,7.0,25.317207120176317
4.0,8.0,25.331315684719893
4.0,9.0,25.236387338261974
4.0,10.0,24.28038649746201
4.0,11.0,23.491946105384937
4.0,12.0,22.885957015514844
4.0,13.0,22.83691032948288
4.0,14.0,22.507255844085975
4.0,15.0,23.372865498901934
4.0,16.0,24.71968892779099
4.0,17.0,26.41098236775819
4.0,18.0,28.765229891939462
4.0,19.0,31.50006415650652
4.0,20.0,28.113324694961513
4.0,21.0,22.716356331180865
4.0,22.0,20.097865829842668
4.0,23.0,18.167741559841797
5.0,0.0,16.557982178164185
5.0,1.0,14.848787681807101
5.0,2.0,14.31004171067956
5.0,3.0,14.459414289970477
5.0,4.0,16.93229395195146
5.0,5.0,20.393576690772186
5.0,6.0,22.864962216624683
5.0,7.0,24.42163822756697
5.0,8.0,26.74179762194957
5.0,9.0,27.237069147639563
5.0,10.0,27.726046152596084
5.0,11.0,28.333944096855447
5.0,12.0,29.428117873297037
5.0,13.0,30.90477831044663
5.0,14.0,32.103765472224474
5.0,15.0,34.866743045963005
5.0,16.0,37.727847837274176
