month,hour,USD_per_MWh
1.0,0.0,18.304193548387094
1.0,1.0,16.475483870967743
1.0,2.0,16.469806451612904
1.0,3.0,17.254860215053764
1.0,4.0,19.03264516129033
1.0,5.0,23.227634408602157
1.0,6.0,34.6076559139785
1.0,7.0,37.96720430107526
1.0,8.0,30.15329032258064
1.0,9.0,25.07088172043011
1.0,10.0,22.97298924731183
1.0,11.0,21.534580645161288
1.0,12.0,20.547591397849462
1.0,13.0,19.36847311827957
1.0,14.0,18.81189247311828
1.0,15.0,19.006365591397852
1.0,16.0,23.440838709677422
1.0,17.0,46.90483870967742
1.0,18.0,42.48101075268817
1.0,19.0,33.37008602150537
1.0,20.0,29.09688172043011
1.0,21.0,25.447268817204296
1.0,22.0,22.94989247311828
1.0,23.0,20.480602150537635
2.0,0.0,16.185
2.0,1.0,15.153547619047616
2.0,2.0,15.305238095238096
2.0,3.0,15.82421428571429
2.0,4.0,16.934500000000003
2.0,5.0,21.37885714285714
2.0,6.0,33.39509523809524
2.0,7.0,35.22780952380952
2.0,8.0,25.798309523809525
2.0,9.0,22.509476190476192
2.0,10.0,19.985261904761902
2.0,11.0,17.972809523809524
2.0,12.0,16.765071428571428
2.0,13.0,16.16257142857143
2.0,14.0,15.797333333333333
2.0,15.0,15.980642857142858
2.0,16.0,18.204285714285714
2.0,17.0,26.937476190476193
2.0,18.0,35.11940476190476
2.0,19.0,27.370571428571427
2.0,20.0,23.595142857142857
2.0,21.0,20.755666666666663
2.0,22.0,18.316690476190477
2.0,23.0,16.765238095238097
3.0,0.0,19.475849462365588
3.0,1.0,16.953548387096774
3.0,2.0,16.402577777777775
3.0,3.0,16.573311827956992
3.0,4.0,18.192731182795697
3.0,5.0,22.708946236559136
3.0,6.0,32.07176344086022
3.0,7.0,34.418903225806446
3.0,8.0,27.02808602150538
3.0,9.0,21.59782795698925
3.0,10.0,19.374043010752686
3.0,11.0,19.227849462365594
3.0,12.0,19.429978494623658
3.0,13.0,20.977440860215058
3.0,14.0,22.966817204301076
3.0,15.0,23.84404301075268
3.0,16.0,26.064559139784944
3.0,17.0,31.99952688172043
3.0,18.0,43.6192258064516
3.0,19.0,55.51483870967742
3.0,20.0,46.61537634408604
3.0,21.0,26.81116129032258
3.0,22.0,23.388
3.0,23.0,20.271096774193545
4.0,0.0,16.486355555555555
4.0,1.0,14.62202222222222
4.0,2.0,13.56702222222222
4.0,3.0,13.373866666666665
4.0,4.0,14.432488888888887
4.0,5.0,17.880555555555553
4.0,6.0,23.898022222222227
4.0,7.0,24.3946
4.0,8.0,18.4832
4.0,9.0,16.224977777777777
4.0,10.0,15.852577777777775
4.0,11.0,16.744755555555557
4.0,12.0,18.096644444444443
4.0,13.0,20.173177777777777
4.0,14.0,22.49128888888889
4.0,15.0,25.135866666666665
4.0,16.0,28.659844444444445
4.0,17.0,30.247755555555553
4.0,18.0,33.88422222222222
4.0,19.0,66.69244444444445
4.0,20.0,61.38151111111112
4.0,21.0,30.179933333333338
4.0,22.0,22.287533333333332
4.0,23.0,18.918400000000002
5.0,0.0,18.534301075268818
5.0,1.0,16.502494623655913
5.0,2.0,15.709204301075271
5.0,3.0,15.583032258064515
5.0,4.0,16.43058064516129
5.0,5.0,19.11705376344086
5.0,6.0,23.31612903225807
5.0,7.0,21.29686021505377
5.0,8.0,18.622451612903223
5.0,9.0,18.276752688172042
5.0,10.0,19.591526881720434
5.0,11.0,21.852881720430105
5.0,12.0,24.693505376344085
5.0,13.0,30.048838709677415
5.0,14.0,34.18774193548387
5.0,15.0,40.300258064516136
5.0,16.0,48.57116129032258
5.0,17.0,46.92193548387097
5.0,18.0,39.44948387096775
5.0,19.0,63.299139784946234
5.0,20.0,69.9020860215054
5.0,21.0,34.095247311827954
5.0,22.0,23.5889247311828
5.0,23.0,20.756580645161293
6.0,0.0,20.7492
6.0,1.0,18.493
6.0,2.0,17.307177777777778
6.0,3.0,16.69704444444444
6.0,4.0,16.677955555555556
6.0,5.0,17.683888888888887
