location,month,pearson_cc
HB_BUSAVG,1,-0.033820523017292894
LZ_AEN,1,-0.026325480551183875
HB_HOUSTON,1,-0.039195271863021554
HB_HUBAVG,1,-0.03327712557972324
HB_NORTH,1,-0.03276801999613855
HB_SOUTH,1,-0.040013994870923456
HB_WEST,1,-0.02222457264680624
HB_PAN,1,-0.035138953773310735
LZ_CPS,1,-0.037293063212880596
LZ_HOUSTON,1,-0.039158432758361124
LZ_NORTH,1,-0.03174089041909256
LZ_RAYBN,1,-0.026164298675968173
LZ_SOUTH,1,-0.03984796065047134
LZ_WEST,1,-0.011571882853246021
LZ_LCRA,1,-0.03614965396581056
HB_BUSAVG,2,-0.012280096187997202
HB_HOUSTON,2,-0.012526297234698707
HB_HUBAVG,2,-0.016771283672237763
HB_NORTH,2,-0.006474556438092932
HB_PAN,2,7.261497211113549e-05
HB_SOUTH,2,-0.013775703877126164
HB_WEST,2,-0.030115853227293005
LZ_AEN,2,0.012954143404875123
LZ_CPS,2,-0.007813276539271007
LZ_HOUSTON,2,-0.011824437172965161
LZ_LCRA,2,0.002771364882898065
LZ_NORTH,2,-0.004412126052471714
LZ_RAYBN,2,0.0030095557902815396
LZ_SOUTH,2,-0.01677691848142112
LZ_WEST,2,-0.07236065745509318
HB_BUSAVG,3,0.06557279811796426
HB_HOUSTON,3,0.057698767616620454
HB_HUBAVG,3,0.06368952407749497
HB_NORTH,3,0.06883350678158585
HB_PAN,3,0.061130714721815894
HB_SOUTH,3,0.060807224668031845
HB_WEST,3,0.05985343153361597
LZ_AEN,3,0.06387336725516965
LZ_CPS,3,0.05449443204305268
LZ_HOUSTON,3,0.0569813368250926
LZ_LCRA,3,0.06432500353459411
LZ_NORTH,3,0.06901255867683458
LZ_RAYBN,3,0.06947506752228709
LZ_SOUTH,3,0.03287643081346939
LZ_WEST,3,0.032729857594452516
HB_BUSAVG,4,0.20208043073792437
HB_HOUSTON,4,0.20998683403401883
HB_HUBAVG,4,0.20091416804807036
HB_NORTH,4,0.20033111745649443
HB_PAN,4,0.1507454000593341
HB_SOUTH,4,0.2036420162653304
HB_WEST,4,0.17141044856926854
LZ_AEN,4,0.2049271018297827
LZ_CPS,4,0.21141304805551897
LZ_HOUSTON,4,0.21211907470681396
LZ_LCRA,4,0.20562309865874415
LZ_NORTH,4,0.2052635379979853
LZ_RAYBN,4,0.20039249206408513
LZ_SOUTH,4,0.2061032467194478
LZ_WEST,4,0.14803578445740959
HB_BUSAVG,5,0.04531064041650761
HB_HOUSTON,5,0.05488771040581837
HB_HUBAVG,5,0.045626475271452395
HB_NORTH,5,0.04440465560257811
HB_PAN,5,0.04959799739006326
HB_SOUTH,5,0.04418844066674069
HB_WEST,5,0.03559126877398328
LZ_AEN,5,0.044175939192432546
LZ_CPS,5,0.04778714062746053
LZ_HOUSTON,5,0.05632280720593374
LZ_LCRA,5,0.04414325551070849
LZ_NORTH,5,0.04535854704383157
LZ_RAYBN,5,0.045418568156873534
LZ_SOUTH,5,0.05051476439444055
LZ_WEST,5,0.02697415189285407
HB_BUSAVG,6,-0.01577941301142235
HB_HOUSTON,6,-0.018952148301967637
HB_HUBAVG,6,-0.016142371771425256
HB_NORTH,6,-0.014866014967248977
HB_PAN,6,-0.014086954033811128
HB_SOUTH,6,-0.017035720065912703
LZ_WEST,6,-0.01327904587558392
HB_WEST,6,-0.01367079129492878
LZ_CPS,6,-0.01445481777823876
LZ_HOUSTON,6,-0.01894067337332979
LZ_LCRA,6,-0.018107218974672802
LZ_NORTH,6,-0.01499071464661688
LZ_RAYBN,6,-0.015167507805857827
LZ_SOUTH,6,-0.020225741077368572
LZ_AEN,6,-0.020104589880800494
HB_WEST,7,-0.29874406500668227
HB_BUSAVG,7,-0.3041355991751692
HB_HOUSTON,7,-0.31480713373637487
HB_HUBAVG,7,-0.30482713150357355
HB_NORTH,7,-0.30353365918977193
HB_PAN,7,-0.29881216860227977
HB_SOUTH,7,-0.2992206560026071
LZ_AEN,7,-0.3106552247666662
LZ_HOUSTON,7,-0.31556924271843895
LZ_LCRA,7,-0.3117050749699005
LZ_NORTH,7,-0.304680923236553
LZ_RAYBN,7,-0.30479701552627025
LZ_SOUTH,7,-0.3082914850094349
LZ_WEST,7,-0.3006020557639246
