location,month,pearson_cc
CAPITL,1,-0.10803105064395128
WEST,1,-0.11769811675571955
PJM,1,-0.13111438168633935
O H,1,-0.11741168733038783
NPX,1,-0.11283439635847191
N.Y.C.,1,-0.1179521797872304
MILLWD,1,-0.12017414702932876
NORTH,1,-0.0991463124403669
LONGIL,1,-0.0815814808861748
HUD VL,1,-0.12058238268695286
H Q,1,-0.11659752034968017
GENESE,1,-0.13224123419297523
DUNWOD,1,-0.11967941382276379
CENTRL,1,-0.14213930543862038
MHK VL,1,-0.1325861403180066
CAPITL,2,0.007164745828155309
WEST,2,-0.010138711701024856
PJM,2,-0.008830646072378826
O H,2,-0.010534752714959924
NPX,2,0.007450244514471679
N.Y.C.,2,0.0012226672022353604
MILLWD,2,0.001796516645010596
NORTH,2,-0.013149907856900572
LONGIL,2,0.0007071830223652339
HUD VL,2,-0.0006930841941635717
H Q,2,-0.014287290830070153
GENESE,2,-0.013484557325142713
DUNWOD,2,0.0014495958530293602
CENTRL,2,-0.014073474373096943
MHK VL,2,-0.011964128575550246
CAPITL,3,-0.2272934411917076
WEST,3,-0.17881369965451707
PJM,3,-0.2939247726359282
O H,3,-0.16755073327546216
NPX,3,-0.2566782676737236
N.Y.C.,3,-0.3003415819327392
MILLWD,3,-0.30017722758857585
NORTH,3,-0.08774619350255779
LONGIL,3,-0.2261096004677858
HUD VL,3,-0.29933423341492427
H Q,3,-0.09601373195403777
GENESE,3,-0.1659761840998665
DUNWOD,3,-0.30076951515256856
CENTRL,3,-0.18759877879778536
MHK VL,3,-0.19030917840343212
CAPITL,4,-0.2584173230065689
WEST,4,-0.19579494215538265
PJM,4,-0.28649038506303376
O H,4,-0.19538271284607922
NPX,4,-0.3321191029040756
N.Y.C.,4,-0.27989574368733794
MILLWD,4,-0.2808005810797967
NORTH,4,-0.12986875161156688
LONGIL,4,-0.27124883751045287
HUD VL,4,-0.28637556225645805
H Q,4,-0.13460077924980338
GENESE,4,-0.1988320644241942
DUNWOD,4,-0.280027413835179
CENTRL,4,-0.21503891420313886
MHK VL,4,-0.21297276491844291
CAPITL,5,0.20975964665098457
WEST,5,0.12619122857669354
PJM,5,0.1891401789325832
O H,5,0.12793232087052842
NPX,5,0.19462120557203536
N.Y.C.,5,0.20861767443041776
MILLWD,5,0.2080715157860145
NORTH,5,0.10367309105528758
LONGIL,5,0.20658034161366076
HUD VL,5,0.20780734065330778
H Q,5,0.09837196477778715
GENESE,5,0.12082329300414663
DUNWOD,5,0.20791849441576815
CENTRL,5,0.12190082446502357
MHK VL,5,0.12632010979265185
CAPITL,6,0.17761295832305174
WEST,6,0.20762657999893783
