location,month,pearson_cc
AECI,1,0.3524378300851946
AECI.ALTW,1,0.3468725456638333
AECI.AMMO,1,0.387185106420848
AECI.APM_1.AZ,1,0.3914149955546003
AECI.APM_2.AZ,1,-0.029569103740512515
AECI.CWLD,1,-0.029569103740512515
AEP,1,0.4216545839829047
AEP.PSGC1.AMP,1,0.3742064266296054
AEP.PSGC2.AMP,1,0.3741996724815145
AEP.WVPA.GIB5,1,0.4067766099674995
ALTE.1ROCKGEN,1,0.4221473957816011
ALTE.ALTE,1,0.42291742090585055
ALTE.AZ,1,0.4231247234925792
ALTE.BEARCRK,1,0.413797110248721
ALTE.CC.RIVS1,1,0.39968111552913743
ALTE.CC.RIVS2,1,0.39968111552913743
ALTE.CC.WRIVS1,1,0.4204819148453273
ALTE.CC.WRIVS2,1,0.4207359685915893
ALTE.CEDARDGE,1,0.4212112920648756
ALTE.COLUMBAL1,1,0.41996279694866356
ALTE.COLUMBAL2,1,0.4202636288747526
ALTE.CRAWFISH,1,0.4226624693223011
ALTE.EDG3.ARR,1,0.4241948265760251
ALTE.EDGG5G5,1,0.4236583312132987
ALTE.JUN31.ARR,1,0.3630756689029061
ALTE.KILBOUNIL,1,0.4238695093845097
ALTE.NEENAHG1,1,0.42459449151578715
ALTE.NEENAHG2,1,0.4245172555319306
ALTE.NLSD1.ARR,1,0.343812605391639
ALTE.NLSD2.ARR,1,0.3436277436872473
ALTE.NROCK,1,0.4181661955748797
ALTE.PAR_1.AZ,1,0.4187130571956041
ALTE.PDSG1S1,1,0.42439277594015623
ALTE.PPKC.ESR1,1,0.4221861526626251
ALTE.QUILTBLCK,1,0.29054593094137304
ALTE.ROCKGEN2,1,0.4221473957816011
ALTE.ROCKGEN3,1,0.4221473957816011
ALTE.SFONDDLG1,1,0.4220388999603416
ALTE.SFONDDLG2,1,0.42205762342585246
ALTE.SFONDDLG3,1,0.42210140313287536
ALTE.SFONDDLG4,1,0.4220604215743461
ALTE.SHEB1,1,0.4261047665241783
ALTE.SHEB2,1,0.4261047665241783
ALTE.SHPSN.ARR,1,0.4183598147960594
ALTE.TOWNECT_1,1,0.39968111552913743
ALTE.TOWNECT_2,1,0.39968111552913743
ALTE.TOWNEST11,1,0.39968111552913743
ALTE.TOWNEST12,1,0.39968111552913743
ALTE.WOODCTY,1,0.4057953616095307
ALTE.WPPI_1.AZ,1,0.4002563777782851
ALTE.WRIVS_CT1,1,0.42037954539605005
ALTE.WRIVS_CT2,1,0.4208579217982283
ALTE.WRIVS_ST1,1,0.42063283728191003
ALTE.WRIVS_ST2,1,0.42063283728191003
ALTW.8THST.ARR,1,0.3575315716888763
ALTW.ADAMSADAM,1,0.32419465452198193
ALTW.ALTW,1,0.32436714650236304
ALTW.AMESWIND,1,0.21681109311274221
ALTW.ARMST.ARR,1,0.2250071674254454
ALTW.AZ,1,0.32519447786226807
ALTW.BART1NIPS,1,0.32003218851761667
ALTW.BART1WPPI,1,0.32003218851761667
ALTW.BARTON2,1,0.3200278915057015
ALTW.BENT_TREE,1,0.2501644736802685
ALTW.BEPM.CBLD,1,0.26496838916412196
ALTW.BRLGTN1,1,0.40412707148491006
ALTW.BRLGTN2,1,0.40412707148491006
ALTW.BRLGTN3,1,0.40412707148491006
ALTW.BRLGTN4,1,0.40412707148491006
ALTW.BRLGTN5,1,0.4038201867638179
ALTW.BROOKE1,1,0.20828954171484568
ALTW.BVR.ARR,1,0.3569574856661061
ALTW.CC.EMERY1,1,0.22962682723886685
ALTW.CC.EMERY2,1,0.22962682723886685
ALTW.CC.MGS1,1,0.26604280388804674
ALTW.CC.MGS2,1,0.26604034962903256
ALTW.CERROG1,1,0.22922945919585794
ALTW.CMMPA.MTL,1,0.23111098018602638
ALTW.CMMPA.SPR,1,0.22998371354275035
ALTW.CMMPA.WIN,1,0.22720362508931705
ALTW.CRLK2WPL,1,0.21048655542367575
ALTW.CRLK3CWL2,1,0.21048655542367575
ALTW.CRLK3CWLD,1,0.21048655542367575
ALTW.CRYLAKE1,1,0.21048655542367575
ALTW.CRYLAKE2,1,0.21048655542367575
ALTW.CRYSTAL3,1,0.21048655542367575
ALTW.DAEC,1,0.34682350846858456
ALTW.DR.AURLD,1,0.22505920418899988
ALTW.DRUN.ESR1,1,0.35246653809872136
ALTW.ELKWIND,1,0.3278179796409403
ALTW.EMERY_1,1,0.22962682723886685
ALTW.EMERY_2,1,0.22962682723886685
ALTW.EMERY31,1,0.22962682723886685
ALTW.EMERY32,1,0.22962682723886685
ALTW.ENDV,1,0.21729367993239346
ALTW.ENGLFARMS,1,0.2914489446281211
ALTW.FAIR1.ARR,1,0.3998185047129805
ALTW.FAIR2.ARR,1,0.3998185047129805
ALTW.FAIR_DSL,1,0.23524054027509883
ALTW.FAIRMONT1,1,0.23494203139483366
ALTW.FAIR_SIG,1,0.23524054027509883
ALTW.FCLDFCL1,1,0.21656305971909756
ALTW.FPL_DAEC,1,0.34682350846858456
ALTW.FRBRN.WND,1,0.2522177113362524
ALTW.FRNKLNCO,1,0.24822489944995876
ALTW.FXLK3.ARR,1,0.22962088407463604
ALTW.GOLDENPLN,1,0.2307326184398822
ALTW.GPFWIND,1,0.23416786634538767
ALTW.GRCT.ARR,1,0.2576909910915092
ALTW.HAHN.ARR,1,0.3418220517034908
ALTW.HANCOC1,1,0.2281036968756236
ALTW.HANCO_CF,1,0.2281036968756236
ALTW.HANCO_PE,1,0.2281036968756236
ALTW.HAWKEYE1,1,0.3162887709090419
ALTW.HCPD.STHP,1,0.24187752885564062
ALTW.HCPD.TRU,1,0.23335031591853406
ALTW.HDIVWIND,1,0.22803777238506365
ALTW.HZLT3.MVP,1,0.3302480459383019
ALTW.INDEPWIND,1,0.33527390818734415
