label,utility,type,period,basic_charge_limit (imperial),basic_charge_limit (metric),month_start,month_end,hour_start,hour_end,weekday_start,weekday_end,charge (imperial),charge (metric),units,Notes
39003369002,electric,customer,,,,,,,,,,100,100,$/month,
,electric,energy,,0,0,1,12,0,24,0,6,0.034675,0.034675,$/kWh,Includes Rider RE
,electric,demand,maximum,0,0,1,12,0,24,0,6,4.5704,4.5704,$/kW,
,gas,customer,,,,,,,,,,226.64,226.64,$/month,
,gas,energy,,0,0,1,1,0,24,0,6,0.469084,0.165655724,$/therm or $/m3,
,gas,energy,,0,0,2,2,0,24,0,6,0.469184,0.165691039,$/therm or $/m3,
,gas,energy,,0,0,3,3,0,24,0,6,0.529284,0.186915188,$/therm or $/m3,
,gas,energy,,0,0,4,4,0,24,0,6,0.534184,0.18864561,$/therm or $/m3,
,gas,energy,,0,0,5,5,0,24,0,6,0.514584,0.181723924,$/therm or $/m3,
,gas,energy,,0,0,6,6,0,24,0,6,0.696284,0.245890779,$/therm or $/m3,
,gas,energy,,0,0,7,7,0,24,0,6,0.718384,0.253695333,$/therm or $/m3,
,gas,energy,,0,0,8,8,0,24,0,6,0.783084,0.27654396,$/therm or $/m3,
,gas,energy,,0,0,9,9,0,24,0,6,0.804184,0.283995367,$/therm or $/m3,
,gas,energy,,0,0,10,10,0,24,0,6,0.852784,0.301158323,$/therm or $/m3,
,gas,energy,,0,0,11,11,0,24,0,6,0.929684,0.328315346,$/therm or $/m3,
,gas,energy,,0,0,12,12,0,24,0,6,0.821484,0.290104814,$/therm or $/m3,
