label,utility,type,period,basic_charge_limit (imperial),basic_charge_limit (metric),month_start,month_end,hour_start,hour_end,weekday_start,weekday_end,charge (imperial),charge (metric),units,Notes
48008015001,electric,customer,,,,,,,,,,1000,1000,$/month,
,electric,energy,,0,0,1,1,0,24,0,6,0.06036,0.06036,$/kWh,Includes fuel adjustment factor
,electric,energy,,250,250,1,1,0,24,0,6,0.05626,0.05626,$/kWh,Includes fuel adjustment factor
,electric,energy,,0,0,2,2,0,24,0,6,0.06338,0.06338,$/kWh,Includes fuel adjustment factor
,electric,energy,,250,250,2,2,0,24,0,6,0.05928,0.05928,$/kWh,Includes fuel adjustment factor
,electric,energy,,0,0,3,3,0,24,0,6,0.06338,0.06338,$/kWh,Includes fuel adjustment factor
,electric,energy,,250,250,3,3,0,24,0,6,0.05928,0.05928,$/kWh,Includes fuel adjustment factor
,electric,energy,,0,0,4,4,0,24,0,6,0.07304,0.07304,$/kWh,Includes fuel adjustment factor
,electric,energy,,250,250,4,4,0,24,0,6,0.06894,0.06894,$/kWh,Includes fuel adjustment factor
,electric,energy,,0,0,5,5,0,24,0,6,0.07683,0.07683,$/kWh,Includes fuel adjustment factor
,electric,energy,,250,250,5,5,0,24,0,6,0.07273,0.07273,$/kWh,Includes fuel adjustment factor
,electric,energy,,0,0,6,6,0,24,0,6,0.07663,0.07663,$/kWh,Includes fuel adjustment factor
,electric,energy,,250,250,6,6,0,24,0,6,0.07253,0.07253,$/kWh,Includes fuel adjustment factor
,electric,energy,,0,0,7,7,0,24,0,6,0.07607,0.07607,$/kWh,Includes fuel adjustment factor
,electric,energy,,250,250,7,7,0,24,0,6,0.07197,0.07197,$/kWh,Includes fuel adjustment factor
,electric,energy,,0,0,8,8,0,24,0,6,0.0767,0.0767,$/kWh,Includes fuel adjustment factor
,electric,energy,,250,250,8,8,0,24,0,6,0.0726,0.0726,$/kWh,Includes fuel adjustment factor
,electric,energy,,0,0,9,9,0,24,0,6,0.074085,0.074085,$/kWh,Includes fuel adjustment factor
,electric,energy,,250,250,9,9,0,24,0,6,0.069985,0.069985,$/kWh,Includes fuel adjustment factor
,electric,energy,,0,0,10,10,0,24,0,6,0.07074,0.07074,$/kWh,Includes fuel adjustment factor
,electric,energy,,250,250,10,10,0,24,0,6,0.06664,0.06664,$/kWh,Includes fuel adjustment factor
,electric,energy,,0,0,11,11,0,24,0,6,0.07405,0.07405,$/kWh,Includes fuel adjustment factor
,electric,energy,,250,250,11,11,0,24,0,6,0.06995,0.06995,$/kWh,Includes fuel adjustment factor
,electric,energy,,0,0,12,12,0,24,0,6,0.06888,0.06888,$/kWh,Includes fuel adjustment factor
,electric,energy,,250,250,12,12,0,24,0,6,0.06478,0.06478,$/kWh,Includes fuel adjustment factor
,electric,demand,winter1,0,0,1,5,0,24,0,6,8.75,8.75,$/kW,
,electric,demand,summer,0,0,6,9,0,24,0,6,11.4,11.4,$/kW,
,electric,demand,winter2,0,0,10,12,0,24,0,6,8.75,8.75,$/kW,
,gas,customer,,,,,,,,,,40,40,$/month,
,gas,energy,,0,0,1,12,0,24,0,6,0.693,0.244731043,$/therm or $/m3,Includes cost of gas
,gas,energy,,6000,16990.08,1,12,0,24,0,6,0.616,0.217538705,$/therm or $/m3,Includes cost of gas
