label,utility,type,period,basic_charge_limit (imperial),basic_charge_limit (metric),month_start,month_end,hour_start,hour_end,weekday_start,weekday_end,charge (imperial),charge (metric),units,Notes
12000017004,electric,customer,,,,,,,,,,283.03,283.03,$/month,
,electric,energy,,0,0,1,3,0,6,0,4,0.03748,0.03748,$/kWh,Fuel charge included with energy
,electric,energy,,0,0,1,3,6,10,0,4,0.0435,0.0435,$/kWh,
,electric,energy,,0,0,1,3,10,18,0,4,0.03748,0.03748,$/kWh,
,electric,energy,,0,0,1,3,18,22,0,4,0.0435,0.0435,$/kWh,
,electric,energy,,0,0,1,3,22,24,0,4,0.03748,0.03748,$/kWh,
,electric,energy,,0,0,4,10,0,12,0,4,0.03748,0.03748,$/kWh,
,electric,energy,,0,0,4,10,12,21,0,4,0.0435,0.0435,$/kWh,
,electric,energy,,0,0,4,10,21,24,0,4,0.03748,0.03748,$/kWh,
,electric,energy,,0,0,11,12,0,6,0,4,0.03748,0.03748,$/kWh,
,electric,energy,,0,0,11,12,6,10,0,4,0.0435,0.0435,$/kWh,
,electric,energy,,0,0,11,12,10,18,0,4,0.03748,0.03748,$/kWh,
,electric,energy,,0,0,11,12,18,22,0,4,0.0435,0.0435,$/kWh,
,electric,energy,,0,0,11,12,22,24,0,4,0.03748,0.03748,$/kWh,
,electric,energy,,0,0,1,12,0,24,5,6,0.03748,0.03748,$/kWh,
,electric,demand,winter-peak1,0,0,1,3,6,10,0,4,14.34,14.34,$/kW,Conservation and capacity charges included with demand
,electric,demand,winter-peak1,0,0,1,3,18,22,0,4,14.34,14.34,$/kW,
,electric,demand,summer-peak,0,0,4,10,12,21,0,4,14.34,14.34,$/kW,
,electric,demand,winter-peak2,0,0,11,12,6,10,0,4,14.34,14.34,$/kW,
,electric,demand,winter-peak2,0,0,11,12,18,22,0,4,14.34,14.34,$/kW,
,electric,demand,maximum,0,0,1,12,0,24,0,6,2.74,2.74,$/kW,
,gas,customer,,,,,,,,,,300,300,$/month,
,gas,energy,,0,0,1,12,0,24,0,6,0.90733,0.320421093,$/therm or $/m3,Includes Purchased Gas Adjustment (PGA)
,gas,demand,maximum,0,0,1,12,0,24,0,6,13.8,4.873432026,$/therm/hr or $/m3/hr,
