year,month,hour,isorto,co2_eq_kg_per_MWh
2023,1,12,MISO,667.2381075
2023,1,12,NYISO,415.7292127
2023,1,12,PJM,571.0987059
2023,1,12,SPP,693.3741166
2023,1,13,CAISO,398.1802446
2023,1,13,ERCOT,478.4827157
2023,1,13,ISONE,371.2990099
2023,1,13,MISO,658.9398964
2023,1,13,NYISO,367.2171862
2023,1,13,PJM,585.0208832
2023,1,13,SPP,692.3083405
2023,1,14,CAISO,383.3344417
2023,1,14,ERCOT,547.9306073
2023,1,14,ISONE,404.4880704
2023,1,14,MISO,682.5816021
2023,1,14,NYISO,413.4543314
2023,1,14,PJM,542.0343424
2023,1,14,SPP,661.2680446
2023,1,15,CAISO,371.6884918
2023,1,15,ERCOT,500.4304889
2023,1,15,ISONE,363.5214921
2023,1,15,MISO,703.3895529
2023,1,15,NYISO,391.1049422
2023,1,15,PJM,489.7886072
2023,1,15,SPP,665.1806831
2023,1,16,CAISO,448.7070824
2023,1,16,ERCOT,423.7553879
2023,1,16,ISONE,330.4482326
2023,1,16,MISO,621.2760732
2023,1,16,NYISO,464.1552597
2023,1,16,PJM,533.8581018
2023,1,16,SPP,674.6699033
2023,1,17,CAISO,380.6031562
2023,1,17,ERCOT,444.3478809
2023,1,17,ISONE,361.9520738
2023,1,17,MISO,684.4020247
2023,1,17,NYISO,374.9482209
2023,1,17,PJM,503.2887817
2023,1,17,SPP,705.5536277
2023,1,18,CAISO,298.6490867
2023,1,18,ERCOT,545.4932381
2023,1,18,ISONE,347.2608839
2023,1,18,MISO,677.6436992
2023,1,18,NYISO,371.8448523
2023,1,18,PJM,461.6783488
2023,1,18,SPP,651.3803552
2023,1,19,CAISO,409.1762306
2023,1,19,ERCOT,445.3997061
2023,1,19,ISONE,367.1185015
2023,1,19,MISO,653.7431318
2023,1,19,NYISO,397.4699871
2023,1,19,PJM,447.734456
2023,1,19,SPP,708.9818631
2023,1,20,CAISO,300.8149718
2023,1,20,ERCOT,479.0799558
2023,1,20,ISONE,342.901919
2023,1,20,MISO,637.0216437
2023,1,20,NYISO,340.5299559
2023,1,20,PJM,508.0963301
2023,1,20,SPP,648.6285802
2023,1,21,CAISO,364.4201952
2023,1,21,ERCOT,417.3204602
2023,1,21,ISONE,450.9376844
2023,1,21,MISO,589.9266498
2023,1,21,NYISO,406.3782744
2023,1,21,PJM,389.4946842
2023,1,21,SPP,616.3926737
2023,1,22,CAISO,443.4350341
2023,1,22,ERCOT,410.8279174
2023,1,22,ISONE,357.1908089
2023,1,22,MISO,648.0994011
2023,1,22,NYISO,467.0203843
2023,1,22,PJM,464.7858219
2023,1,22,SPP,612.306457
2023,1,23,CAISO,434.1433374
2023,1,23,ERCOT,436.606825
2023,1,23,ISONE,410.9990986
2023,1,23,MISO,668.3140752
2023,1,23,NYISO,489.8931089
2023,1,23,PJM,606.0517541
2023,1,23,SPP,685.7433378
2023,2,0,CAISO,351.9419401
2023,2,0,ERCOT,513.0314401
2023,2,0,ISONE,438.8247481
2023,2,0,MISO,759.4163497
2023,2,0,NYISO,492.7787008
2023,2,0,PJM,509.1006502
2023,2,0,SPP,716.8969911
2023,2,1,CAISO,355.3843004
2023,2,1,ERCOT,525.9409959
2023,2,1,ISONE,292.2454489
2023,2,1,MISO,712.7740268
2023,2,1,NYISO,490.081545
2023,2,1,PJM,645.8652102
2023,2,1,SPP,626.0101879
2023,2,2,CAISO,383.7195225
2023,2,2,ERCOT,449.2797439
2023,2,2,ISONE,463.5653792
2023,2,2,MISO,624.9490969
2023,2,2,NYISO,409.2678929
2023,2,2,PJM,449.658245
2023,2,2,SPP,640.5408703
2023,2,3,CAISO,399.3422702
2023,2,3,ERCOT,519.6160306
2023,2,3,ISONE,381.4129979
2023,2,3,MISO,662.0380601
2023,2,3,NYISO,409.2477505
2023,2,3,PJM,513.8232864
2023,2,3,SPP,634.1030616
2023,2,4,CAISO,452.5549206
2023,2,4,ERCOT,467.1482186
2023,2,4,ISONE,398.6886739
2023,2,4,MISO,603.889086
2023,2,4,NYISO,381.2399497
2023,2,4,PJM,459.4237474
2023,2,4,SPP,706.2459562
2023,2,5,CAISO,380.9855676
2023,2,5,ERCOT,519.7425633
2023,2,5,ISONE,440.4268722
2023,2,5,MISO,557.2069069
2023,2,5,NYISO,462.365706
2023,2,5,PJM,434.1716112
2023,2,5,SPP,642.4979634
2023,2,6,CAISO,459.9236965
2023,2,6,ERCOT,557.87858
2023,2,6,ISONE,202.3415563
2023,2,6,MISO,558.7119914
2023,2,6,NYISO,323.8746057
2023,2,6,PJM,345.8331392
2023,2,6,SPP,666.7325246
2023,2,7,CAISO,397.9457527
2023,2,7,ERCOT,433.4067269
2023,2,7,ISONE,408.1078045
2023,2,7,MISO,590.3689263
2023,2,7,NYISO,375.3125106
2023,2,7,PJM,354.4393264
2023,2,7,SPP,591.4559358
2023,2,8,CAISO,420.2472277
2023,2,8,ERCOT,453.1427384
2023,2,8,ISONE,389.6461327
2023,2,8,MISO,578.7288682
2023,2,8,NYISO,403.8323498
2023,2,8,PJM,448.6729862
2023,2,8,SPP,640.854871
2023,2,9,CAISO,327.7300153
2023,2,9,ERCOT,459.0975074
2023,2,9,ISONE,424.4353571
2023,2,9,MISO,554.2330168
2023,2,9,NYISO,408.7720262
2023,2,9,PJM,403.7656805
2023,2,9,SPP,662.4670156
2023,2,10,CAISO,349.9173322
2023,2,10,ERCOT,421.4669092
2023,2,10,ISONE,407.4829748
2023,2,10,MISO,531.452463
2023,2,10,NYISO,299.0388898
2023,2,10,PJM,447.5068763
2023,2,10,SPP,546.4536206
2023,2,11,CAISO,305.3285341
2023,2,11,ERCOT,488.4483268
2023,2,11,ISONE,318.3807571
2023,2,11,MISO,645.2430872
2023,2,11,NYISO,394.8051314
2023,2,11,PJM,495.9347879
2023,2,11,SPP,619.6426352
2023,2,12,CAISO,339.3249252
2023,2,12,ERCOT,496.7131908
2023,2,12,ISONE,322.6724042
2023,2,12,MISO,666.1990514
2023,2,12,NYISO,413.6994573
2023,2,12,PJM,542.0978837
2023,2,12,SPP,641.0658207
2023,2,13,CAISO,385.6599837
2023,2,13,ERCOT,563.7130529
2023,2,13,ISONE,333.3708782
2023,2,13,MISO,739.0318768
2023,2,13,NYISO,457.0869083
2023,2,13,PJM,590.8573401
2023,2,13,SPP,568.5116849
2023,2,14,CAISO,384.1225294
2023,2,14,ERCOT,569.6973276
2023,2,14,ISONE,386.6529915
2023,2,14,MISO,683.1873614
2023,2,14,NYISO,432.1020122
2023,2,14,PJM,494.6807911
2023,2,14,SPP,641.9897243
2023,2,15,CAISO,412.9820841
2023,2,15,ERCOT,555.5653842
2023,2,15,ISONE,385.8224347
2023,2,15,MISO,702.9943784
2023,2,15,NYISO,392.3620652
2023,2,15,PJM,551.7601315
2023,2,15,SPP,644.2996091
