month,hour,co2_eq_kg_per_MWh
1.0,0.0,305.76684084591324
1.0,1.0,323.19958220546243
1.0,2.0,349.8563979889709
1.0,3.0,350.67199576823776
1.0,4.0,389.1618618942318
1.0,5.0,413.53987822704414
1.0,6.0,382.1062751106463
1.0,7.0,356.549663837655
1.0,8.0,298.9363026882927
1.0,9.0,388.7029081442439
1.0,10.0,407.23653588278336
1.0,11.0,350.88551109020784
1.0,12.0,338.76737414814454
1.0,13.0,334.2314165143134
1.0,14.0,344.912012965103
1.0,15.0,384.0598448731761
1.0,16.0,326.2314589369656
1.0,17.0,422.34959310569167
1.0,18.0,338.6634587353168
1.0,19.0,327.8131003037867
1.0,20.0,386.00072230300367
1.0,21.0,447.7672418597264
1.0,22.0,434.3054512784925
1.0,23.0,367.1273839473327
2.0,0.0,411.1891844866498
2.0,1.0,409.127595078684
2.0,2.0,203.06814074613
2.0,3.0,431.7965874181904
2.0,4.0,361.3511326301131
2.0,5.0,448.7111918488331
2.0,6.0,389.7020030733742
2.0,7.0,312.20058774446994
2.0,8.0,346.97105223438297
2.0,9.0,317.5089056844732
2.0,10.0,369.0282625945451
2.0,11.0,354.4215898887353
2.0,12.0,369.5080086676925
2.0,13.0,406.891070599017
2.0,14.0,333.1137344730974
2.0,15.0,397.4955159185057
2.0,16.0,410.6374510545426
2.0,17.0,400.3235882631229
2.0,18.0,452.2787108148742
2.0,19.0,508.3531645789512
2.0,20.0,424.040476799922
2.0,21.0,228.3943645147396
2.0,22.0,461.04667205012703
2.0,23.0,414.2888586447878
3.0,0.0,373.3772346869342
3.0,1.0,396.9341732560941
3.0,2.0,380.7790527383818
3.0,3.0,312.16854682788204
3.0,4.0,393.3574811777846
3.0,5.0,405.19599931774
3.0,6.0,367.4213718806809
3.0,7.0,400.1867938178408
3.0,8.0,408.5060913536121
3.0,9.0,396.82968351764
3.0,10.0,373.9130421365746
3.0,11.0,321.1060195122986
3.0,12.0,356.68458917263126
3.0,13.0,312.7412261164117
3.0,14.0,395.69908458291
3.0,15.0,383.7027525391329
3.0,16.0,391.40983749255713
3.0,17.0,353.58856252033945
3.0,18.0,380.730298394236
3.0,19.0,402.6399264248047
3.0,20.0,382.6552737523992
3.0,21.0,418.4472720248246
3.0,22.0,443.7295984412247
3.0,23.0,386.3391259878569
4.0,0.0,346.2750131058939
4.0,1.0,445.6792148193595
4.0,2.0,371.7394667136001
4.0,3.0,426.3344360807986
4.0,4.0,442.42755371372056
4.0,5.0,439.7653688607841
4.0,6.0,438.8753978482176
4.0,7.0,403.0573972205032
4.0,8.0,377.8842053968552
4.0,9.0,410.23712214703465
4.0,10.0,447.087574482007
4.0,11.0,364.8279973630874
4.0,12.0,411.79741076526574
4.0,13.0,388.15826586297896
4.0,14.0,421.3637106154451
4.0,15.0,481.4615096706161
4.0,16.0,339.5758658171695
4.0,17.0,414.0305818546096
4.0,18.0,345.5959531691388
4.0,19.0,385.0179177640715
4.0,20.0,405.6110890764279
4.0,21.0,408.8337933148836
4.0,22.0,383.6292167726667
4.0,23.0,456.4408345244056
5.0,0.0,433.82816293859184
5.0,1.0,332.5072933450458
5.0,2.0,366.931655185792
5.0,3.0,275.02641928433184
5.0,4.0,333.00843959504545
5.0,5.0,439.39478150221584
5.0,6.0,419.8072053700933
5.0,7.0,354.5876481377141
5.0,8.0,359.7562924439391
5.0,9.0,378.7525547414038
5.0,10.0,291.956769003956
5.0,11.0,361.7577812524625
5.0,12.0,333.23098846786274
5.0,13.0,478.13872866628657
5.0,14.0,408.4926842645456
5.0,15.0,389.1362941037799
5.0,16.0,418.9013950141581
5.0,17.0,355.2103995980843
5.0,18.0,364.1696856126313
5.0,19.0,368.9748259138316
5.0,20.0,450.9462130129069
5.0,21.0,403.2724287827714
5.0,22.0,443.9091214932564
5.0,23.0,417.72040131112993
6.0,0.0,412.2603323803243
6.0,1.0,391.9031025506373
6.0,2.0,402.7232326132044
6.0,3.0,351.9065956775114
6.0,4.0,403.4276480607196
6.0,5.0,357.6217464171766
6.0,6.0,364.5839980921577
6.0,7.0,375.4141774954686
6.0,8.0,386.8965693697948
6.0,9.0,407.72641167099215
6.0,10.0,415.8663016562829
6.0,11.0,399.9371120560693
