month,hour,co2_eq_kg_per_MWh
1.0,0.0,427.70361667885305
1.0,1.0,422.5641796568667
1.0,2.0,419.4019743539432
1.0,3.0,503.8661681531991
1.0,4.0,624.5682622143687
1.0,5.0,565.4300480122142
1.0,6.0,415.2611349695552
1.0,7.0,461.5993610617522
1.0,8.0,427.866518789357
1.0,9.0,518.3825349637747
1.0,10.0,506.33506019013214
1.0,11.0,417.89776108703296
1.0,12.0,441.5822008513359
1.0,13.0,494.77970168927067
1.0,14.0,463.2495100361582
1.0,15.0,491.2313459404013
1.0,16.0,464.5868087348291
1.0,17.0,412.1279900108246
1.0,18.0,446.3123095998285
1.0,19.0,638.8112574593001
1.0,20.0,539.7466441204292
1.0,21.0,446.6718022958366
1.0,22.0,488.8394746169833
1.0,23.0,457.4368192444828
2.0,0.0,508.7198428050327
2.0,1.0,533.1272546384148
2.0,2.0,398.5138979865709
2.0,3.0,437.9291580711391
2.0,4.0,471.6981129864956
2.0,5.0,431.8521072421616
2.0,6.0,477.2595932385951
2.0,7.0,445.79048894046434
2.0,8.0,513.8700262083145
2.0,9.0,563.7116463555276
2.0,10.0,524.838053611975
2.0,11.0,450.7143838558629
2.0,12.0,469.526067139604
2.0,13.0,386.2775315492304
2.0,14.0,453.7246843206049
2.0,15.0,469.5553521433589
2.0,16.0,609.3111531516635
2.0,17.0,449.4952076481254
2.0,18.0,374.9433483824155
2.0,19.0,496.7811224653846
2.0,20.0,538.816249449146
2.0,21.0,451.5274436175559
2.0,22.0,565.4579148344296
2.0,23.0,481.9432317997292
3.0,0.0,442.134017344856
3.0,1.0,499.0498928099843
3.0,2.0,485.5040148982362
3.0,3.0,528.0972517447972
3.0,4.0,499.1801532767928
3.0,5.0,550.7733424242361
3.0,6.0,499.8905970219548
3.0,7.0,496.1723041326189
3.0,8.0,533.73443261163
3.0,9.0,629.2769901929244
3.0,10.0,548.1898853615285
3.0,11.0,468.6703390087855
3.0,12.0,455.0523569667917
3.0,13.0,523.045757479823
3.0,14.0,538.8812177541328
3.0,15.0,551.7725001152717
3.0,16.0,511.5789904189013
3.0,17.0,472.3987187307386
3.0,18.0,479.19771775892445
3.0,19.0,554.0649883060587
3.0,20.0,618.6338330947924
3.0,21.0,535.5095260519961
3.0,22.0,412.134131326967
3.0,23.0,451.7310817964135
4.0,0.0,606.7415638186982
4.0,1.0,381.16576818876337
4.0,2.0,506.1145810572607
4.0,3.0,455.3838788441364
4.0,4.0,403.5833207044906
4.0,5.0,538.0186743711596
4.0,6.0,457.72614115429406
4.0,7.0,609.4759130291942
4.0,8.0,496.605766268633
